"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2018","14.670","14.725","14.830","14.625","71.91K","0.27%"
"08/17/2018","14.631","14.635","14.800","14.575","75.07K","-0.56%"
"08/16/2018","14.713","14.455","14.825","14.315","111.78K","1.79%"
"08/15/2018","14.454","15.060","15.070","14.345","142.15K","-3.98%"
"08/14/2018","15.053","14.980","15.105","14.975","66.78K","0.47%"
"08/13/2018","14.982","15.300","15.345","14.970","104.73K","-2.05%"
"08/10/2018","15.295","15.460","15.465","15.290","83.08K","-1.08%"
"08/09/2018","15.462","15.440","15.525","15.380","63.86K","0.19%"
"08/08/2018","15.432","15.380","15.470","15.290","59.94K","0.38%"
"08/07/2018","15.373","15.305","15.505","15.305","61.17K","0.16%"
"08/06/2018","15.348","15.445","15.505","15.290","52.41K","-0.74%"
"08/03/2018","15.462","15.310","15.575","15.250","73.62K","0.50%"
"08/02/2018","15.385","15.405","15.490","15.300","62.23K","-0.43%"
"08/01/2018","15.452","15.535","15.560","15.390","58.31K","-0.69%"
"07/31/2018","15.559","15.510","15.635","15.380","75.39K","0.14%"
"07/30/2018","15.537","15.460","15.565","15.415","42.34K","0.28%"
"07/27/2018","15.493","15.400","15.570","15.345","59.41K","-0.01%"
"07/26/2018","15.495","15.620","15.700","15.390","56.67K","-0.60%"
"07/25/2018","15.589","15.480","15.655","15.470","60.42K","0.44%"
"07/24/2018","15.520","15.395","15.630","15.340","70.89K","0.62%"
"07/23/2018","15.425","15.540","15.580","15.350","61.39K","-0.80%"
"07/20/2018","15.549","15.330","15.565","15.250","81.07K","0.95%"
"07/19/2018","15.402","15.565","15.590","15.185","103.53K","-1.10%"
"07/18/2018","15.574","15.585","15.625","15.410","71.77K","-0.28%"
"07/17/2018","15.617","15.800","15.885","15.560","80.89K","-1.23%"
"07/16/2018","15.812","15.805","15.900","15.765","47.30K","-0.02%"
"07/13/2018","15.815","15.980","16.015","15.700","78.40K","-1.01%"
"07/12/2018","15.977","15.825","16.025","15.780","64.14K","1.01%"
"07/11/2018","15.817","16.105","16.110","15.805","86.97K","-1.68%"
"07/10/2018","16.087","16.150","16.200","15.920","68.89K","-0.32%"
"07/09/2018","16.139","16.065","16.260","16.055","62.14K","0.44%"
"07/06/2018","16.069","16.065","16.190","15.985","58.13K","-0.17%"
"07/04/2018","16.097","16.130","16.145","15.970","89.47K","0.34%"
"07/03/2018","16.043","15.880","16.085","15.815","72.28K","1.31%"
"07/02/2018","15.835","16.145","16.180","15.800","82.70K","-2.24%"
"06/29/2018","16.198","16.050","16.220","16.000","70.39K","0.98%"
"06/28/2018","16.041","16.125","16.185","15.965","109.59K","-0.68%"
"06/27/2018","16.151","16.280","16.295","15.945","96.14K","-0.61%"
"06/26/2018","16.250","16.320","16.350","16.140","84.54K","-0.48%"
"06/25/2018","16.328","16.445","16.485","16.290","72.14K","-0.80%"
"06/22/2018","16.459","16.310","16.485","16.310","73.07K","0.81%"
"06/21/2018","16.326","16.290","16.360","16.190","84.59K","0.10%"
"06/20/2018","16.309","16.305","16.370","16.250","72.54K","-0.09%"
"06/19/2018","16.323","16.470","16.550","16.240","117.42K","-0.71%"
"06/18/2018","16.440","16.550","16.635","16.425","77.78K","-0.24%"
"06/15/2018","16.480","17.075","17.350","16.460","173.55K","-4.53%"
"06/14/2018","17.262","17.075","17.350","16.965","143.01K","1.59%"
"06/13/2018","16.991","16.875","17.145","16.825","109.68K","0.59%"
"06/12/2018","16.891","16.960","16.980","16.775","80.92K","-0.36%"
"06/11/2018","16.952","16.805","16.975","16.770","79.70K","1.26%"
"06/08/2018","16.741","16.745","16.860","16.645","73.29K","-0.44%"
"06/07/2018","16.815","16.710","16.935","16.670","123.78K","0.72%"
"06/06/2018","16.694","16.505","16.765","16.505","116.38K","0.91%"
"06/05/2018","16.543","16.440","16.550","16.370","77.13K","0.68%"
"06/04/2018","16.431","16.420","16.560","16.380","55.72K","-0.06%"
"06/01/2018","16.441","16.430","16.515","16.335","72.77K","-0.10%"
"05/31/2018","16.458","16.525","16.615","16.410","74.06K","-0.52%"
"05/30/2018","16.544","16.375","16.580","16.325","65.13K","1.04%"
"05/28/2018","16.373","16.480","16.515","16.310","104.49K","-1.05%"
"05/25/2018","16.546","16.690","16.740","16.500","72.71K","-0.84%"
"05/24/2018","16.687","16.475","16.715","16.420","91.02K","1.72%"
"05/23/2018","16.405","16.555","16.600","16.330","89.46K","-1.03%"
"05/22/2018","16.575","16.530","16.700","16.465","73.53K","0.33%"
"05/21/2018","16.520","16.430","16.535","16.280","63.89K","0.40%"
"05/18/2018","16.455","16.440","16.485","16.370","44.05K","-0.16%"
"05/17/2018","16.481","16.385","16.505","16.335","65.79K","0.67%"
"05/16/2018","16.371","16.285","16.435","16.190","63.08K","0.63%"
"05/15/2018","16.269","16.540","16.565","16.205","94.15K","-2.26%"
"05/14/2018","16.645","16.700","16.760","16.515","54.34K","-0.64%"
"05/11/2018","16.752","16.760","16.865","16.670","58.62K","-0.04%"
"05/10/2018","16.759","16.520","16.790","16.500","86.18K","1.33%"
"05/09/2018","16.539","16.510","16.655","16.375","73.20K","0.41%"
"05/08/2018","16.472","16.505","16.550","16.335","76.50K","-0.14%"
"05/07/2018","16.495","16.550","16.600","16.430","42.53K","-0.15%"
"05/04/2018","16.519","16.455","16.560","16.390","47.81K","0.44%"
"05/03/2018","16.447","16.405","16.620","16.385","68.26K","0.44%"
"05/02/2018","16.375","16.190","16.565","16.175","100.22K","1.54%"
"05/01/2018","16.127","16.345","16.370","16.070","83.17K","-1.67%"
"04/30/2018","16.401","16.555","16.580","16.225","72.62K","-0.58%"
"04/27/2018","16.497","16.565","16.610","16.480","65.08K","0.04%"
"04/26/2018","16.491","16.540","16.580","16.385","69.51K","-0.07%"
"04/25/2018","16.502","16.700","16.710","16.475","81.37K","-1.20%"
"04/24/2018","16.703","16.620","16.735","16.530","119.14K","0.70%"
"04/23/2018","16.587","17.135","17.135","16.580","143.53K","-3.36%"
"04/20/2018","17.163","17.235","17.260","17.040","95.70K","-0.44%"
"04/19/2018","17.239","17.215","17.360","17.090","141.09K","-0.05%"
"04/18/2018","17.248","16.785","17.275","16.730","176.55K","2.75%"
"04/17/2018","16.787","16.670","16.805","16.575","89.71K","0.66%"
"04/16/2018","16.677","16.655","16.770","16.545","76.46K","0.11%"
"04/13/2018","16.658","16.460","16.680","16.445","65.17K","1.12%"
"04/12/2018","16.473","16.665","16.690","16.430","106.20K","-1.76%"
"04/11/2018","16.768","16.560","16.890","16.515","141.79K","1.04%"
"04/10/2018","16.596","16.485","16.640","16.410","93.60K","0.41%"
